file,size_bytes,sha256
P3_AUTHORITY_OWNERSHIP_PLANNING_MATRIX_v1.1.csv,1619,fb4414241512603d42afe1208e8b174c84b5b9bdf9002efffe1308be5b3363da
P3_CONTROLLED_RESIDUAL_REGISTER_v1.1.csv,1123,66c0d314ac0e0e4665ee3b2346bca74a3e79d2287dfdd1f1c83581dacf4c4acb
P3_CORE_V1.3_DETAILED_SCOPE_TO_PLAN_TRACEABILITY_v1.1.csv,1980,13da55015a073d78a272f6eacdbcc1dfe4d7975307dd3676a242f81de4d28e94
P3_CROSS_LAYER_PLANNING_MATRIX_v1.1.csv,13394,f07fd7b531efd11cd70e7541127b6520d3a459618068ea21e2f4965b032ec688
P3_DEPENDENCY_ORDERED_PLANNING_v1.1.csv,481,82d37cf002850cf766371189d4625b8fd08a8d96aedacc1d89aa6284dd4019fb
P3_FINDING_CORRECTION_REGISTER_v1.1.csv,2255,1817bb3f9acc9fc19ac6ac05eeb811bae3d1a9688ffc3e7393b4f8b02608fca8
P3_M01-M15_DETAILED_CHANGE_OBLIGATION_MATRIX_v1.1.csv,10612,22353d45f98a0ccdf9a1e64879eed330d6aba404d21d6225becd73acad7c2075
P3_MODULE_WORK_PACKAGE_MATRIX_v1.1.csv,3049,0a7103b630c0c09aab51a62ac9872717660b532841ae8b0525549744cbad1679
P3_PARALLELISM_BLOCKING_MATRIX_v1.1.csv,598,90a2633389c4a2bfc697e6c04bcb085dc54e6cca9228e907206e3d853d565a5e
P3_RECURSIVE_DEEP_SCAN_INPUT_INVENTORY_v1.1.csv,164,f6547617bb494cb08ee2db0f57b871464eff98cad0489cd1a9a637904dc116f5
P3_REVISED_MASTER_MODULE_PLAN_v1.1.csv,1249,7a9937693dba1db7ac54e373a7f178967d3f8b353bb95e8c3f005f501cc9e043
P3_REVISED_MODULE_PLANNING_FULL_REBUILD_20260907_v1.1.docx,38434,9eb5d4995307c3556836a3c853612f9405ccdb453922b3dd4ae7a88d5af098a0
P3_REVISED_MODULE_PLANNING_FULL_REBUILD_20260907_v1.1.md,8911,b6fbe6e86aedb2b5426fe66b9b6e98f1bd5406810b61673b77d55ff724e29f48
README_P3_v1.1.md,575,82244752c1692bdc749a64024db8bb33dfd28894959d3a632332636cac3670c6
