file,bytes,sha256
P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_v1.2.docx,38600,288aaf878fd51df3b52a92905176f6e1ff5b13a6ab65de0a441f6bbed487a5aa
P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_v1.2.md,3578,e08e50be855cf65b37ec1af513a3b3b1f83225066b12fcfe02f260352a0a51e8
P10_CONTROLLED_RESIDUAL_CARRY_FORWARD_47_v1.2.csv,5297,271b98ac3037ed7fd2ec5c864143ea11e21667672e466d79a198c3c468d798f7
P10_CORE_6.31_OPERATIONAL_CONTROL_TRACEABILITY_v1.2.csv,614,0377b621f36a62d1271efa6f4929a1ab8146f67c20c5bbb9a772164922f35e35
P10_CORE_6.31_SECTION_COVERAGE_AUDIT_v1.2.csv,5796,ef2b6e6638b9993613af40f6c961da5b8773b204536e5597e9183d1a12ab01c1
P10_CORE_V1.3_SCOPE_PRESERVATION_AUDIT_v1.2.csv,259,6ca71a24efeba41ed4023dbcee5e26146b89dd661a6008bb721301cbc4b812d0
P10_EXECUTION_TREE_LOCK_v1.2.csv,1256,eaba92d7a207508b20c7828a1c9396da4622ecee4af79be3348d16710e6ab033
P10_FINDING_REGISTER_v1.2.csv,1347,8d4c99e06bce98591cb59f7e740261910310b8f475882ea372da706de1a4d498
P10_FIRST_POST_CORRECTION_DEEP_SCAN_v1.2.md,401,17b1666c4b12a240d6e4e0de83adb96ac4aa219d09406aeafe389b6f5a2fc1f4
P10_M01-M15_AI_CONTEXT_ALIGNMENT_v1.2.csv,2773,74010f86cba86a095d056d354fb557afacc922c82fba8778385d06e7fdbab633
P10_P9_ENGINEERING_OBLIGATION_AI_TRACEABILITY_v1.2.csv,4138,df0779fe039249b1b6c80e69284d334f53164ab2dc6db20a4c415d2a14344f1f
P10_SECOND_POST_CORRECTION_DEEP_SCAN_v1.2.md,458,8156f76e4a701b019f263e49b2fd212c969df9a67fcf0acfe7510475b0013ac9
P10_SOURCE_UPLOAD_SHA256_MANIFEST_v1.2.csv,1268,7dadf66a059d2077cc1e2471551b8f384a2fd3ba46fd95ca5203864667a1d22d
P10_STOP_RULES_EXPLICIT_v1.2.csv,1041,8f979350eca9bb5c1c2ed0896d7bd20f120ce82f2aaf790fcd816c6e608b9988
P10_WORK_PACKAGE_AI_HANDOFF_62_v1.2.csv,9151,0e712b20ed0ba139ac38790c4d7c80129fd00e65aa387f1dd4ebeec31d6c7cd8
README_P10_v1.2.md,657,57fee79ac49466c87c2f7350a078a4ca26533ae3a3d4d289921d5aa08fb4739e
