path,sha256,bytes
M08_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,3fbfd02d885f8feb513edc9600895dda61b6617aca3870e888d9f97f9bf8e03b,7235
M09_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,246a729a8ad4d674d614258ec6287969db67631719167a192f277d2257f4e374,4641
M10_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,888a9ac44f5aa5b24106a0ad7f6fd62c31ce2858f250a1dfb55ab403c9cba339,7126
M11_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,5d08a112801c8d2d21c1813f809d71f9547bdb26e09b32b82472873081411704,5901
M12_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,da3706517c15a713c378db797786efddbf9c3b54891615d1c5afbf29c69e7ee1,5430
M13_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,945f73094f3da4087846835f79444eb4ada2636a20ffa61348490fe8ff0c1f39,4485
M14_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,f83951cfeef74990c5906d05c29740942bfee9a75d5ba3c12eb4648612367e98,8071
M15_FOCUSED_EXECUTION_PACK_v1.1_FULL_REBUILD.md,5f3f9e8658e1f00f236f7f5c062c99dd7857dd285a313a4c6b1f48c5804166a1,8251
P7_ACCEPTANCE_GATE_MATRIX_v1.1.csv,c3376dde2929e7145287344379ce9a55e50b98a8357acbd3c6f1a8820954aee9,348
P7_CORE_CONTROLLED_NO_PROPAGATION_REGISTER_v1.1.csv,6de72b4573d7692a5508b9a511fcb592da5a02aee6a577232938a9fcfb3dc82f,1853
P7_CORE_V1.3_SCOPE_TRACEABILITY_M08-M15_v1.1.csv,36a42a916fcb6e9c8ae457c73a2f7ece713658378fbe30a43170377a893f648e,52111
P7_FIRST_FULL_DEEP_SCAN_REPORT_v1.1.md,eaf4dc25f7b0b426d246aba91a03585391f2378ca2aaa56f330500e47a6a5f21,341
P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_v1.1.docx,c64f457671f7914b59b1cc29f084c2a8d8cbc38e3cb86a66d75d8725cef71d8c,36983
P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_v1.1.md,ca686c21e07506db824d6e600848c9b2f0ca74a999e3cd8e6cf2bd6d463073b1,1008
P7_INPUT_RECURSIVE_DEEP_SCAN_INVENTORY_v1.1.md,2497305be78e825635d6729642387f663702dea85ae01603408654fe3abaee03,100
P7_M08-M15_CHANGE_OBLIGATION_TO_EXECUTION_TRACEABILITY_v1.1.csv,48217b55b3acba5b3b9090527dcdc3161489415d73334ab1e4aa10748673670c,11287
P7_SECOND_FULL_DEEP_SCAN_REPORT_v1.1.md,aacabef49b14b6d0dbc050b8a2e4040df64b165b858d57d79cda14817ae0e5f4,360
P7_WORK_PACKAGE_EXECUTION_MATRIX_M08-M15_v1.1.csv,51afff254682776b1d4a7c593f26415e85bf1ff8244a8a35120f34686cb1ee5d,5058
README_P7_v1.1.md,2ef79622556cc69e39dab5f94430821014641302c532d45980d257033848715b,138
