relative_path,size_bytes,sha256,extension,source_pack,coverage_level,coverage_status
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/RENAME_REGISTER_6.33.md,645,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c,.md,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/SHA256_MANIFEST_CORE_FINAL_v1.3.csv,7054,8a197083cd0ec7e79bb6269ab8199d215d4a83716fb28b1081b26d8006e96c5e,.csv,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/SOURCE_INDEX_v1.3.csv,7285,c7d0d912ad37ed28754d02b452ccf5e717645764004c16fb48e77628bec0f111,.csv,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/SOURCE_INDEX_v1.3.md,8161,7dc272fc4716760a1fec381734136d2e47d2b97e66957d15c9b1225e91eb6329,.md,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,41256,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec,.docx,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,11519,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32,.md,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,208747,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f,.csv,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,41616,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8,.docx,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,44768,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c,.docx,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,51338,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc,.docx,core,RECURSIVE_ARTIFACT_INVENTORY,INVENTORIED
