file,bytes,sha256
P11_AI_CONTEXT_FULL_REBUILD_v1.2.docx,37460,c1cc0d31b281404adf9d6bca589d33643558fc6520dc06377261fe7c4286bfa5
P11_AI_CONTEXT_FULL_REBUILD_v1.2.md,7638,a0785b6c60afe0c2dc148bb5143e38228a654259107ab53fa1ad81737d45ab8a
P11_CONTROLLED_RESIDUAL_CARRY_FORWARD_47_v1.2.csv,12359,db08a1207b617f81cfc5cd0e4a680eb3c6d3cb7d8ce28984ad822a97ddb25680
P11_CORE_6.32_SUCCESSOR_DELTA_RECONCILIATION_15_v1.2.csv,2304,3ba1f46b3ef05f8ab9e8bb283516d357aa4351da7e9da503362221d1b00531a2
P11_CORE_V1.3_FINDING_TO_CONTEXT_ROUTING_223_v1.2.csv,81359,ba2ef3cba9a75d9fa96ce83b100dbcb1dc12cb3fb7a14a2dbbdb00a23dc7c0f1
P11_DEPENDENCY_CONTEXT_ROUTING_65_v1.2.csv,26187,11bbb40169a91b4891fadd256d2b66fe87fbdbde5d257c6b2b9284807c4f8fde
P11_EXECUTION_TREE_LOCK_v1.2.csv,1530,f6b87cc1684eec96a8e31972b34c2f3e4bbc4b9b3c896ebb668ec68d4040d7bc
P11_FINAL_GATE_STEP12_HANDOFF_v1.2.md,396,395f0ff1836f6fcfd2b206c78c00106ac4eb7d3483f440a5e7ea6b9bae89c576
P11_FINDING_REGISTER_v1.2.csv,1336,e75c95f980b6c253c215e00bad4f25cc9399289d5cfa4d6021755b49380d41e8
P11_FIRST_DEEP_SCAN_AND_FINDINGS_v1.2.md,588,1570e04fb97fc1a5da898302d78b21f9cf5b48674da4382a1fc239b659031128
P11_M01-M15_SCOPE_CONTEXT_TRACEABILITY_15_v1.2.csv,6127,713809bc6a6340f6871fd0aad22195ff2d866bf5fb2344554cc1e5f3f5bb40a0
P11_MACHINE_SUMMARY_v1.2.json,338,fff999277e368e3b7b63f81fa75b95289db00c4c8593f81805efe0d24c4e4351
P11_P10_OPERATIONAL_CONTROL_CONTEXT_ROUTING_14_v1.2.csv,2230,dcb3f6a6b0c9ee62d966d44e8e1c59ea09050fc6ad686b06cb2ada8e3f0f5091
P11_P10_TO_CONTEXT_SECTION_ROUTING_34_v1.2.csv,9304,4c07023920c4d7172f52e1a14cb75f0c80f8681786df6abfbc718b14d72e4ba1
P11_SECOND_FULL_DEEP_SCAN_v1.2.md,797,e210ff9630fca6062ae691e01fb59b737aa1d1179793470c22d1f6e37698782e
P11_SOURCE_UPLOAD_SHA256_MANIFEST_v1.2.csv,1519,8a3028fd6b9566718eb1decff560dec868ab0a5ecaf159fc8f6c7500e1af2551
P11_WORK_PACKAGE_CONTEXT_CONTRACT_62_v1.2.csv,133873,02706fe369b5c66d4441a873726a4a88028e877628bebb6ed5821388c46edc31
README_P11_v1.2.md,216,69480fcd2ac2b82d36d09007edc0241b8a348ffabd9712f38d62a6688bc6ec80
