path,size_bytes,sha256
00_STEP07_FULL_REPORT_v1.0.md,10364,d426b2850df0cef15d6d9a75612b26d3db5e0c7562a8c6f2e3c6717febbc20a5
01_STEP07_INPUT_DEEP_SCAN_MANIFEST_v1.0.csv,1360,06c08374e3cbe764cb6e327f86b9fca7c5a2f19385aea5c0a28d8a1e91760eb0
02_STEP07_UPSTREAM_PACKAGE_IDENTITY_v1.0.csv,852,fbf9c01953ace9a15c05450028c58c9adf17761d8f515a0ed9f556528d274a79
03_STEP07_STEP_SYNC_CORE_CURRENT_EMBEDDED_INVENTORY_v1.0.csv,1054,ba6e07fe559286951f86a2639bfcff5c4c0c803432ccecb264c6b970958d9d00
04_STEP07_CORE_BASELINE_IDENTITY_COMPARE_v1.0.csv,483,224324a035454685d6d7626565e69c956c2067980c9e810252cedd5d24dc726d
05_STEP07_CURRENT_M01-M15_AUTHORITY_REGISTER_15_v1.0.csv,4086,ded1b6093590cdbf85ef85e6265dec40e8f78dda6ac1fbe8b8e90e2f6c6e4b1f
06_STEP07_DEPENDENCY_MATRIX_73_NON_AUTHORITY_EDGES_v1.0.csv,19144,0819c4d91244c1222f64a0009ba16322278f77cd13488db11c2e1efc0061f963
07_STEP07_SEMANTIC_AUTHORITY_BOUNDARY_MATRIX_15_MODULES_v1.0.csv,2253,b888e1c0fb56c7a8c83f5b49e673215afc5a68bbdf12717f36288b58b5e12441
08_STEP07_CROSS_MODULE_AUTHORITY_RELATIONSHIP_REGISTER_43_v1.0.csv,4928,86e74d336017578149dffab90ccf8f06445cc28f468ab7f7610e98c25d7de487
09_STEP07_FINDING_LEVEL_AUTHORITY_RECONCILIATION_223_v1.0.csv,88978,03e9dc09ce7105b6487f03eea675c7cd497d73e6b728933fac30cd2fda3d1411
10_STEP07_CROSS_MODULE_COLLISION_AND_BOUNDARY_REGISTER_15_v1.0.csv,3314,929e2b4f81ca452ba7923251a8826816400ae487ab61ecada2f0ab9941d3e23f
11_STEP07_CORE_AUTHORITY_RECONCILIATION_76_v1.0.csv,52088,72fd74b931afcdccf94058151f532dc98dc75646c2070f6eed8a4b5b3aef85a6
12_STEP07_SEMANTIC_AUTHORITY_CYCLE_AUDIT_v1.0.csv,626,c8024bfc2b51107ea1768f670c626f80a484270983defea03a7bb92b258f47c0
13_STEP07_AUTHORITY_PRESERVATION_AND_NO_TAKEOVER_AUDIT_15_v1.0.csv,2381,007364bb011c6e4ee5a63b342e0fcf1d04557c8b9d08dee7e63fb9cf06680319
14_STEP07_PROVENANCE_REGISTER_223_v1.0.csv,129107,2a7e7ec1b18702ac77a4a971bfbc25bbed038e2d662bcf23f944b88ce7e73383
15_STEP07_DEEP_SCAN_COVERAGE_SUMMARY_v1.0.csv,84,316eb1c3631e744f4a8feb60b92bc86b2d0f138e034f07d2b514e87841aa4594
16_STEP07_FINAL_GATE_CHECKLIST_v1.0.csv,1649,0d8b776af69bd28839cc5a4c1523de065629aef87813873f356d92a635583990
17_STEP07_AUTHORITY_GRAPH_v1.0.json,11630,00893c840e08dec1f52e7473af6f1959d94ec52069a5498d9786131c101e4347
README_STEP07_FULL_VERSION_v1.0.md,1240,3885badbf888cb67bc0528a1f477f7b40fbdaca5f283ec6b46c140438bdf2c8d
