file,sha256,size_bytes
P5_BATCH_ACCEPTANCE_GATE_MATRIX_v1.0.csv,36f09c0ab928b5f49f82008472a1a948b05caaa4de9561278b4f88a037228f8c,3154
P5_BATCH_DEPENDENCY_ROUTING_MATRIX_v1.0.csv,bf4d83376dc0c5ab351162c27cd27a373e74be69fbf7b3abae6d259d55ad2976,13298
P5_BATCH_REGISTER_v1.0.csv,8f8755b9154bfe76884a3cf5765a390c0a24d56197bc8206eda99824933a2b9e,2189
P5_CONTROLLED_RESIDUAL_CARRY_FORWARD_v1.0.csv,31355f66c66ef086066f9b54ca006104479b029fb8c647c4dcde4b99a03b1f51,7196
P5_CORE_6.25_DETAILED_BATCH_ROUTING_v1.0.csv,5147f61054b96162e91b3da802d7430150a019281d707c71a935277a606ab8e8,2638
P5_CORE_V1.3_SCOPE_TO_BATCH_TRACEABILITY_v1.0.csv,6937903348cb854da78d01206aeeebe2eb1bf04f803abeb705d03bd24689f81c,4462
P5_CRITICAL_PATH_MODULE_ANALYSIS_v1.0.csv,37e497b2b54ca4cc2b836b47b717d6396609b7005ad10f044ce1efd96eda7cd3,347
P5_CROSS_MODULE_BATCH_CONTRACT_MATRIX_v1.0.csv,ca1c9572734dd7a2e63af5e8e8c613b838129fe04d1d6a95d19ee32c4e6bce99,762
P5_EVIDENCE_CHECKPOINT_HANDOFF_MATRIX_v1.0.csv,90fa1c246475493fb91e581e18bdccfd014babd49a2e8556e5315594265860da,2848
P5_EXECUTION_BATCH_PLAN_FULL_REBUILD_v1.0.docx,193f9fed66f08d7b84adbe6916f8ebfb593e2379b3d223bc5402543b7d189372,37657
P5_EXECUTION_BATCH_PLAN_FULL_REBUILD_v1.0.md,cac1deb02bee61fc27908f09c8c38f6123e592ca26e027ea215a5c1e3cf49e97,3467
P5_FINAL_SECOND_DEEP_SCAN_REPORT_v1.0.md,6648e667186eb354be8ba7fdb905db2ae58388af92fb40862c2df1b506af6dc1,982
P5_FINDING_CORRECTION_REGISTER_v1.0.csv,3dbb141174e4103ee775b6cc955f55516ae03b135ba4de0e8b241de3caf5d4a0,1225
P5_INPUT_RECURSIVE_DEEP_SCAN_INVENTORY_v1.0.csv,6819c9a664c1d4615b7dec5c0a146e04e88fe4fc990e74401aafacbcd27d046b,1413
P5_M01-M15_BATCH_TRACEABILITY_v1.0.csv,9050a1d3c0ae7295bf18dbc77414e6101c54fd10113e9f5e0b0aec42fa1c62bb,1775
P5_SERIAL_PARALLEL_MATRIX_v1.0.csv,cef8e89361566b5f9fc1fcc3cec03f2cbe19dd458952482247a0f5c83eef8879,2312
P5_WORK_PACKAGE_BATCH_TRACEABILITY_v1.0.csv,399761097f72da9ff8e2a63d469b0ed63dc7271af8266c69232b6ae0480df204,9665
README_P5_v1.0.md,8130c2ec2bf5a1f9198af1bc4e607c099847def39f100f621a0d49b1f64acb67,304
